Neighborhood,Art,Breakfast,Building,Business Center,Caf�,Child Care,Church,Education,Entertainment,Grocery,Health,Hotel,Library,Liquer,Market,Movie Theater,Nightlife,Park,Restaurant,Snacks
Passaic,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Paterson,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
Pelham,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0
Pompton Plains,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Queens,0,0,0,0,1,0,0,7,0,0,2,0,1,0,1,0,0,0,1,2
Rahway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ridgewood,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0
Rockaways,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Rutherford,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0,1
Scarsdale,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0
Short Hills,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
South Shore,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,1,0,0,0,0
Southeast Bronx,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,2,0,2,0
Southeast Queens,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Southern Brooklyn,0,1,0,0,1,0,4,5,7,0,2,0,0,0,2,1,1,0,1,1
Southwest Brooklyn,0,0,0,1,0,0,0,7,0,4,0,1,0,0,1,0,0,0,0,0
Southwest Queens,0,3,0,0,0,0,0,3,2,0,0,1,2,0,0,0,1,1,1,0
Stapleton and St. George,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,1,0,0
Summit,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
Sunset Park,0,0,0,0,1,0,0,0,1,0,3,3,0,0,6,1,0,1,17,0
Union,0,0,0,0,0,0,0,1,3,0,1,0,1,0,5,1,0,0,0,0
Upper East Side,0,1,0,0,2,1,0,12,1,20,11,9,6,0,3,2,0,3,15,5
Upper West Side,1,0,0,0,0,0,0,23,1,26,9,4,2,0,3,5,0,1,12,3
Valley Stream,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0
Wayne,0,0,0,0,0,0,0,2,2,0,0,2,1,1,1,2,0,0,0,0
West Central Queens,0,1,0,0,0,0,0,4,0,2,1,3,0,1,2,1,2,0,2,3
West Hempstead,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
West Orange,0,1,0,0,0,1,0,2,0,4,0,0,0,0,0,1,0,1,0,0
West Queens,0,2,0,0,1,0,0,4,0,1,1,11,4,11,3,1,1,1,6,1
Westbury,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0
Williamsburg,0,0,0,0,2,0,0,0,1,16,1,2,0,1,0,5,4,2,18,0
Woodbridge,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
Yonkers,0,0,0,0,0,0,0,6,2,4,0,1,1,0,0,0,0,0,1,0
