"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"GT Road","Academic Building","Institute Of Management Education",28.6778705,77.34780057,"51057398e4b0059ce6ef830b","New Delhi","Delhi","College Academic Building","College Academic Buildings","GT Road","IME House (GT Road)",201005,"IME House"
"Baroda House","University","ICAI",28.62728491,77.24194139,"4e1c41a01850caeb9c9b3372","New Delhi","Delhi","University","Universities","null","ITO",110001,"ITO"
"New Delhi","University","School of Planning and Architecture",28.62868066,77.24611972,"4de5c094fa764cf4bed02e68","New Delhi","Delhi","University","Universities","null","New Delhi","null","null"
"Welcome","Education","Shyam Lal College",28.67300079,77.28080121,"4ef003425c5ca1ec3068db15","New Delhi","Delhi","General College & University","General Colleges & Universities","null","Welcome","null","Welcome"
"New Delhi","Theater","PGDAV College",28.56671521,77.25181088,"52eb1dff11d2cd4e637cf15d","New Delhi","Delhi","College Theater","College Theaters","null","India","null","null"
"Metropolitan Mall","College Bookstore","Om Book Shop",28.48111413,77.08017497,"4c4aec6c5609c9b610f86290","New Delhi","Delhi","College Bookstore","College Bookstores","Metropolitan Mall","Gurgaon","null","null"
"A10 Sector 62","University","Jaypee Institute of Information Technology University",28.62974326,77.3729995,"4eb92edd775b544c28dc7d82","New Delhi","Delhi","University","Universities","null","A10 Sector 62",201301,"A10 Sector 62"
"New Delhi","Education","NIT 5",28.39959113,77.3016669,"4d523b07747f6dcb4f50cad4","New Delhi","Delhi","General College & University","General Colleges & Universities","null","India","null","null"
"New Delhi","Tech Startup","Zomato FarmHouse",28.4795287,77.16344351,"5028f7efe4b0c80453cc5cc6","New Delhi","Delhi","Tech Startup","Tech Startups","null","India","null","null"
"Opposite AIIMS","Medical School","Vardhaman Mahavir Medical College",28.56980055,77.20292193,"5205c32411d2c9240c78cba4","New Delhi","Delhi","Medical School","Medical Schools","null","Opposite AIIMS","null","Opposite AIIMS"
"New Delhi","Communications","Jamia Millia Islamia Central University (Delhi)",28.56107747,77.28087416,"538ff5e3498e70fb6be63469","New Delhi","Delhi","College Communications Building","College Communications Buildings","null","India","null","null"
"Lajpat nagar","Library","The Golden dragon",28.56705124,77.24679886,"4d18b5a5bb64224bd13fc965","New Delhi","Delhi","College Library","College Libraries","null","Lajpat nagar","null","Lajpat nagar"
"Rithala","Technology","Sirifort College",28.72060245,77.10760103,"4e3bf847483b04e17a814053","New Delhi","Delhi","College Technology Building","College Technology Buildings","null","Rithala","null","Rithala"
