"Neighborhood","Venue Category","Venue","location_address","Neighborhood_Latitude","Neighborhood_Longitude","id","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName","location_crossStreet","location_neighborhood",,,,,,,,
"Behind Tata Block, Bandra West,","Cineplex","Gaiety Cinema","Railway Colony, S V Road,",19.06164181,72.83877132,"4ddce24c1f6e54b34d937cdd","null","Mumbai","Maharashtra","India","Railway Colony, S V Road, (Behind Tata Block, Bandra West,)","Multiplex","Multiplexes","Cineplex","Behind Tata Block, Bandra West,","Behind Tata Block, Bandra West,",,,,,,,,
"Nr. Swami Vivekanand Rd","Movie Theater","INOX Raghuleela","Next to Poisar Bus Depot, Kandivali (West)",19.21339694,72.84911475,"4c7006f3df6b8cfa3cddb64d",400067,"Mumbai","Maharashtra","India","Next to Poisar Bus Depot, Kandivali (West) (Nr. Swami Vivekanand Rd)","Movie Theater","Movie Theaters","Movie Theater","Nr. Swami Vivekanand Rd","Nr. Swami Vivekanand Rd",,,,,,,,
"Th?ne","Cineplex","Cinemax","Teen Hath Naka",19.18724842,72.96281449,"4dabc1efcda1652a2baa5044","null","Mumbai","Maharashtra","India","Teen Hath Naka (at Eternity Mall)","Multiplex","Multiplexes","Cineplex","at Eternity Mall","Th?ne",,,,,,,,
"Nariman Point","Movie Theater","INOX","CR 2, 2nd Floor, Nariman Point,",18.92646475,72.82247022,"4b501876f964a520991c27e3",400021,"Mumbai","Maharashtra","India","CR 2, 2nd Floor, Nariman Point,","Movie Theater","Movie Theaters","Movie Theater","null","Nariman Point",,,,,,,,
"Vallabh Baug Lane","Cineplex","Cinemax","Odeon Cinema, Ghatkopar East",19.0796489,72.90951145,"4df34ab1ae609e69dd99089f",400077,"Mumbai","Maharashtra","India","Odeon Cinema, Ghatkopar East (Vallabh Baug Lane)","Multiplex","Multiplexes","Cineplex","Vallabh Baug Lane","Vallabh Baug Lane",,,,,,,,
"Juhu","Cineplex","PVR Cinemas","Parulekar Rd.",19.11463742,72.82745182,"4b8e7e52f964a520422533e3",400049,"Mumbai","Maharashtra","India","Parulekar Rd. (Juhu)","Multiplex","Multiplexes","Cineplex","Juhu","Juhu",,,,,,,,
"Andheri (W)","Cineplex","PVR ECX","Citi Mall, Link Road",19.13874137,72.83177743,"51a8963e498e90e292e17c6a",400053,"Mumbai","Maharashtra","India","Citi Mall, Link Road (Andheri (W))","Multiplex","Multiplexes","Cineplex","Andheri (W)","Andheri (W)",,,,,,,,
"Vashi","Cineplex","INOX Cinemas Vashi","Raghuleela Mall",19.06400352,72.99690609,"525e978b11d2e5f304441980","null","Mumbai","Maharashtra","India","Raghuleela Mall (Vashi)","Multiplex","Multiplexes","Cineplex","Vashi","Vashi",,,,,,,,
"Parel","Indie Movies","Premiere Cinema","Parel",19.00760571,72.84117705,"4db05d13a86e63d2115848f1","null","Mumbai","Maharashtra","India","Parel","Indie Movie Theater","Indie Movie Theaters","Indie Movies","null","Parel",,,,,,,,
"Thakur Village","Indie Movies","Inox","Thakur Village",19.21218527,72.87150085,"52399718498ea4c79377e78e","null","Mumbai","Maharashtra","India","Thakur Village","Indie Movie Theater","Indie Movie Theaters","Indie Movies","null","Thakur Village",,,,,,,,
"Milan flyover","Indie Movies","Gold Cinema Santacruz","Milan Mall",19.08939459,72.83927303,"57b7e3a3498e3c027d52c1df","null","Mumbai","Maharashtra","India","Milan Mall (Milan flyover)","Indie Movie Theater","Indie Movie Theaters","Indie Movies","Milan flyover","Milan flyover",,,,,,,,
"Andheri east","Indie Movies","Maxus Cinema","Sakinaka",19.09372955,72.88362749,"4dd7cf5ed4c05d5096f2267c","null","Mumbai","Maharashtra","India","Sakinaka (Andheri east)","Indie Movie Theater","Indie Movie Theaters","Indie Movies","Andheri east","Andheri east",,,,,,,,
"Panvel","Cineplex","PVR Cinemas","2nd Floor",18.993328,73.11564,"576ff9fa498e6907b1fdca94",410206,"Mumbai","Maharashtra","India","2nd Floor","Multiplex","Multiplexes","Cineplex","null","Panvel",,,,,,,,
"Andheri, west","Movie Theater","Navrang Cinema","JP Road",19.12395929,72.84192134,"4faa84bbe4b0f8dd98619e42",400058,"Mumbai","Maharashtra","India","JP Road (Andheri, west)","Movie Theater","Movie Theaters","Movie Theater","Andheri, west","Andheri, west",,,,,,,,
,"Movie Theater","Central Plaza Theatre","null",18.95479664,72.81849918,"4cefe59913aea143ff1f769f","null","Mumbai","Maharashtra","India","Mumbai","Movie Theater","Movie Theaters","Movie Theater","null",,,,,,,,,
,"Cineplex","SM5 Multiplex","null",19.2349684,73.12218066,"525e39b811d2275340fd3f9d","null","Mumbai","Maharashtra","India","India","Multiplex","Multiplexes","Cineplex","null",,,,,,,,,
"Seawoods","Cineplex","Carnival Cinemas","null",19.030584,73.06648,"5d2095ea395231002305c7b1",410210,"Mumbai","Maharashtra","India","Navi Mumbai 410210","Multiplex","Multiplexes","Cineplex","null","Seawoods",,,,,,,,
"Goregaon","Cineplex","Movie Star","Goregaon",19.15178372,72.84608704,"4b76de33f964a52091652ee3","null","Mumbai","Maharashtra","India","Goregaon","Multiplex","Multiplexes","Cineplex","null","Goregaon",,,,,,,,
"N.C. Kelkar Road","Movie Theater","Shivaji Mandir","Diagonally Opposite To Plaza Cinema, Dadar (West)",19.02255375,72.84204961,"4d7323575f0037048430eca0",400028,"Mumbai","Maharashtra","India","Diagonally Opposite To Plaza Cinema, Dadar (West) (N.C. Kelkar Road)","Movie Theater","Movie Theaters","Movie Theater","N.C. Kelkar Road","N.C. Kelkar Road",,,,,,,,
"Goregaon East","Cineplex","Miraj Cinemas","Goregaon East",19.165423,72.851122,"584d6d5ad8f3e9271ed29f4d","null","Mumbai","Maharashtra","India","Goregaon East","Multiplex","Multiplexes","Cineplex","null","Goregaon East",,,,,,,,
,"Movie Theater","Carnival Sangam Cinemas","null",19.11242138,72.86483482,"58ad6a846431e572c26c6a5d","null","Mumbai","Maharashtra","India","Mumbai","Movie Theater","Movie Theaters","Movie Theater","null",,,,,,,,,
"Near Dahisar Check Naka","Movie Theater","Inox Cinemas - Thakur Mall - Dahisar","Near Dahisar Check Naka",19.26312956,72.87448341,"4c42b0e9da3dc92860f4cab9","null","Mumbai","Maharashtra","India","Near Dahisar Check Naka","Movie Theater","Movie Theaters","Movie Theater","null","Near Dahisar Check Naka",,,,,,,,
"Evershine Nagar","Cineplex","Rassaz multiplex","Mira Rd",19.28405981,72.86335488,"4d412f5d7416cbff51e7e191","null","Mumbai","Maharashtra","India","Mira Rd (Evershine Nagar)","Multiplex","Multiplexes","Cineplex","Evershine Nagar","Evershine Nagar",,,,,,,,
"Bhayander(west)","Cineplex","Maxus cinema","Maxus Mall",19.29584727,72.84856814,"50bdc5a6e4b0624f8cd516bc",401101,"Mumbai","Maharashtra","India","Maxus Mall (150ft road)","Multiplex","Multiplexes","Cineplex","150ft road","Bhayander(west)",,,,,,,,
"Goregaon West","Cineplex","Cinemax Cinema","Swami Vivekanand Rd, Kumud Nagar, Goregaon West",19.15745611,72.84382918,"4d273fb6342d6dcba3b4ebca","null","Mumbai","Maharashtra","India","Swami Vivekanand Rd, Kumud Nagar, Goregaon West","Multiplex","Multiplexes","Cineplex","null","Goregaon West",,,,,,,,
"New Link Road, Oshiwara","Cineplex","Carnival Cinemas","Bhagat Singh Nagar",19.1574578,72.8351962,"55a92c5f498e4ade8f530456","null","Mumbai","Maharashtra","India","Bhagat Singh Nagar (New Link Road, Oshiwara)","Multiplex","Multiplexes","Cineplex","New Link Road, Oshiwara","New Link Road, Oshiwara",,,,,,,,
